0.049,0.042,0.035,0.021,0.045,0.018,0.041,0.044,0.022,0.068,0.036,0.033,0.041,0.045,0.018,0.040,0.047,0.026,0.019,0.039,0.019,0.042,0.028,0.039,0.028,0.036,0.026,0.037,0.034,0.033,0.018,0.035,0.025,0.032,0.044,0.053,0.024,0.038,0.030,0.026,0.016,0.027,0.034,0.024,0.026,0.020,0.035,0.034,0.029,0.034,0.027,0.044,0.038,0.034,0.027,0.025,0.044,0.027,0.031,0.038,0.029,0.035,0.063,0.048,0.039,0.046,0.058,0.029,0.032,0.051,0.039,0.041,0.036,0.026,0.051,0.035,0.022,0.050,0.044,0.033,0.026,0.022,0.026,0.038,0.038,0.047,0.026,0.024,0.037,0.020,0.040,0.018,0.042,0.024,0.031,0.033,0.037,
0.030,0.045,0.031,0.027,0.025,0.060,0.016,0.033,0.023,0.050,0.027,0.049,0.020,0.020,0.033,0.020,0.029,0.023,0.034,0.038,0.036,0.032,0.031,0.038,0.029,0.021,0.032,0.035,0.038,0.050,0.038,0.035,0.041,0.029,0.026,0.022,0.012,0.042,0.048,0.024,0.044,0.037,0.025,0.019,0.033,0.021,0.016,0.031,0.017,0.049,0.038,0.023,0.027,0.031,0.033,0.049,0.037,0.050,0.024,0.033,0.025,0.022,0.035,0.042,0.023,0.033,0.018,0.031,0.037,0.038,0.043,0.027,0.029,0.060,0.021,0.026,0.030,0.013,0.033,0.025,0.026,0.036,0.031,0.036,0.040,0.041,0.031,0.029,0.029,0.016,0.032,0.022,0.025,0.061,0.021,0.019,0.027,
0.030,0.042,0.026,0.020,0.016,0.033,0.019,0.029,0.044,0.024,0.035,0.047,0.026,0.021,0.026,0.026,0.015,0.036,0.031,0.023,0.030,0.031,0.042,0.035,0.034,0.038,0.032,0.025,0.021,0.029,0.021,0.027,0.023,0.030,0.029,0.028,0.016,0.032,0.025,0.033,0.022,0.018,0.031,0.022,0.016,0.035,0.024,0.034,0.027,0.020,0.035,0.023,0.041,0.033,0.030,0.027,0.023,0.037,0.026,0.019,0.021,0.043,0.029,0.052,0.027,0.032,0.032,0.030,0.031,0.013,0.040,0.021,0.023,0.059,0.024,0.019,0.021,0.033,0.029,0.050,0.032,0.039,0.033,0.023,0.030,0.028,0.056,0.013,0.023,0.035,0.036,0.029,0.047,0.024,0.029,0.035,0.043,
0.043,0.027,0.040,0.033,0.016,0.022,0.024,0.034,0.030,0.024,0.022,0.033,0.032,0.027,0.019,0.022,0.020,0.024,0.028,0.033,0.035,0.024,0.023,0.041,0.030,0.036,0.015,0.015,0.030,0.040,0.054,0.053,0.022,0.047,0.018,0.035,0.025,0.016,0.034,0.024,0.036,0.025,0.023,0.040,0.034,0.029,0.023,0.026,0.034,0.018,0.016,0.051,0.043,0.022,0.030,0.034,0.028,0.016,0.033,0.035,0.024,0.031,0.016,0.017,0.033,0.043,0.039,0.026,0.016,0.030,0.043,0.030,0.018,0.024,0.045,0.032,0.036,0.030,0.021,0.025,0.037,0.026,0.020,0.041,0.026,0.046,0.029,0.026,0.013,0.027,0.036,0.034,0.028,0.040,0.023,0.019,0.012,
0.036,0.011,0.019,0.027,0.041,0.022,0.022,0.021,0.043,0.024,0.025,0.039,0.021,0.041,0.042,0.031,0.043,0.030,0.021,0.035,0.015,0.030,0.022,0.018,0.044,0.014,0.019,0.017,0.021,0.029,0.029,0.022,0.024,0.040,0.026,0.018,0.052,0.023,0.013,0.029,0.019,0.043,0.025,0.026,0.039,0.040,0.022,0.028,0.027,0.030,0.024,0.031,0.023,0.022,0.043,0.029,0.025,0.042,0.017,0.024,0.022,0.030,0.016,0.014,0.016,0.032,0.031,0.014,0.019,0.046,0.036,0.032,0.017,0.031,0.025,0.037,0.026,0.035,0.034,0.014,0.031,0.027,0.035,0.026,0.032,0.033,0.036,0.018,0.027,0.021,0.036,0.025,0.023,0.021,0.027,0.031,0.027,
0.030,0.030,0.013,0.024,0.020,0.042,0.023,0.023,0.017,0.024,0.025,0.020,0.026,0.015,0.019,0.036,0.020,0.040,0.030,0.018,0.031,0.021,0.027,0.036,0.022,0.033,0.023,0.022,0.020,0.027,0.019,0.028,0.023,0.020,0.027,0.013,0.022,0.040,0.028,0.024,0.026,0.020,0.029,0.031,0.040,0.026,0.035,0.031,0.047,0.028,0.033,0.026,0.026,0.033,0.029,0.044,0.019,0.017,0.038,0.033,0.041,0.032,0.020,0.031,0.023,0.036,0.035,0.028,0.027,0.045,0.015,0.023,0.032,0.024,0.031,0.026,0.022,0.027,0.020,0.020,0.038,0.028,0.032,0.026,0.028,0.022,0.018,0.014,0.033,0.031,0.032,0.034,0.026,0.037,0.023,0.044,0.029,
0.028,0.018,0.029,0.024,0.024,0.024,0.022,0.025,0.035,0.020,0.022,0.020,0.027,0.027,0.032,0.043,0.016,0.046,0.026,0.023,0.031,0.019,0.011,0.028,0.022,0.047,0.035,0.015,0.023,0.016,0.044,0.028,0.029,0.014,0.031,0.019,0.024,0.012,0.047,0.032,0.037,0.034,0.040,0.019,0.032,0.026,0.026,0.022,0.039,0.032,0.027,0.016,0.018,0.016,0.030,0.025,0.026,0.018,0.020,0.028,0.024,0.022,0.028,0.024,0.033,0.012,0.033,0.033,0.011,0.051,0.021,0.022,0.026,0.023,0.037,0.035,0.028,0.019,0.031,0.021,0.031,0.049,0.031,0.036,0.038,0.032,0.019,0.023,0.014,0.033,0.016,0.033,0.029,0.042,0.028,0.018,0.046,
0.020,0.032,0.023,0.019,0.022,0.025,0.030,0.033,0.036,0.022,0.023,0.022,0.024,0.040,0.032,0.035,0.024,0.022,0.018,0.017,0.014,0.018,0.041,0.021,0.018,0.024,0.020,0.036,0.019,0.021,0.026,0.030,0.023,0.023,0.014,0.025,0.028,0.019,0.030,0.020,0.025,0.026,0.022,0.025,0.013,0.024,0.020,0.019,0.016,0.038,0.023,0.023,0.040,0.032,0.018,0.028,0.040,0.012,0.033,0.018,0.019,0.030,0.023,0.039,0.029,0.028,0.022,0.018,0.026,0.026,0.031,0.018,0.021,0.030,0.018,0.027,0.045,0.042,0.026,0.029,0.022,0.012,0.035,0.033,0.023,0.034,0.028,0.032,0.031,0.032,0.016,0.013,0.031,0.027,0.018,0.022,0.013,
0.020,0.018,0.030,0.030,0.025,0.018,0.022,0.020,0.020,0.023,0.021,0.035,0.021,0.032,0.024,0.025,0.021,0.026,0.020,0.013,0.032,0.011,0.014,0.019,0.032,0.022,0.029,0.027,0.032,0.025,0.022,0.031,0.020,0.021,0.029,0.019,0.022,0.021,0.022,0.020,0.028,0.017,0.018,0.019,0.028,0.020,0.032,0.029,0.023,0.028,0.015,0.026,0.017,0.025,0.017,0.021,0.030,0.021,0.025,0.028,0.024,0.027,0.026,0.020,0.019,0.039,0.026,0.020,0.031,0.022,0.016,0.017,0.039,0.030,0.031,0.020,0.035,0.032,0.013,0.029,0.028,0.029,0.011,0.026,0.030,0.027,0.024,0.019,0.018,0.026,0.029,0.029,0.027,0.035,0.025,0.022,0.035,
0.018,0.031,0.029,0.024,0.017,0.037,0.040,0.027,0.026,0.025,0.036,0.013,0.024,0.024,0.021,0.016,0.025,0.013,0.022,0.022,0.020,0.031,0.024,0.019,0.038,0.024,0.024,0.032,0.023,0.029,0.021,0.017,0.030,0.010,0.024,0.040,0.017,0.016,0.020,0.020,0.016,0.026,0.024,0.017,0.028,0.018,0.020,0.021,0.017,0.020,0.019,0.027,0.015,0.024,0.015,0.040,0.024,0.015,0.013,0.022,0.020,0.030,0.023,0.015,0.030,0.025,0.009,0.027,0.018,0.023,0.028,0.011,0.024,0.036,0.020,0.023,0.015,0.026,0.028,0.015,0.023,0.026,0.027,0.018,0.014,0.027,0.014,0.034,0.022,0.021,0.022,0.017,0.023,0.018,0.032,0.023,0.027,
0.024,0.014,0.020,0.022,0.024,0.036,0.015,0.018,0.023,0.027,0.022,0.024,0.028,0.018,0.021,0.019,0.025,0.024,0.027,0.013,0.022,0.024,0.021,0.022,0.022,0.027,0.020,0.043,0.020,0.010,0.026,0.027,0.023,0.024,0.016,0.013,0.019,0.027,0.024,0.020,0.029,0.019,0.017,0.038,0.010,0.029,0.034,0.036,0.022,0.022,0.024,0.019,0.022,0.028,0.014,0.029,0.021,0.021,0.016,0.014,0.016,0.025,0.020,0.031,0.038,0.025,0.018,0.020,0.017,0.026,0.026,0.031,0.018,0.030,0.019,0.021,0.018,0.027,0.029,0.013,0.017,0.019,0.035,0.019,0.027,0.018,0.025,0.020,0.014,0.021,0.022,0.026,0.026,0.036,0.011,0.023,0.010,
0.019,0.027,0.021,0.012,0.016,0.028,0.031,0.025,0.017,0.016,0.024,0.014,0.021,0.026,0.028,0.029,0.014,0.025,0.021,0.022,0.011,0.018,0.013,0.020,0.010,0.021,0.013,0.024,0.011,0.011,0.029,0.017,0.021,0.028,0.022,0.033,0.033,0.017,0.015,0.024,0.034,0.025,0.022,0.028,0.022,0.023,0.019,0.026,0.013,0.024,0.016,0.010,0.021,0.015,0.023,0.012,0.016,0.027,0.032,0.023,0.030,0.014,0.024,0.022,0.022,0.016,0.036,0.026,0.019,0.031,0.022,0.018,0.016,0.024,0.023,0.019,0.009,0.020,0.027,0.031,0.021,0.028,0.021,0.019,0.028,0.016,0.016,0.022,0.025,0.030,0.017,0.026,0.019,0.020,0.025,0.021,0.013,
